2025-05-13 17:46:24,197 DEBUG: findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-05-13 17:46:24,197 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-13 17:46:24,197 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-13 17:46:24,197 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-13 17:46:24,197 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-13 17:46:24,198 DEBUG: findfont: score(FontEntry(fname='C:\\Users\\wlwee\\anaconda3\\envs\\starMorphometricTool\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
